CSDS_FLAG,CS_COLUMN_NAME,CARRIER_COLUMN_NAME,DEFAULT,SPECIAL_RULES,NOTE
0,CARRIER_STATUS_MAP,,,,
0,CARRIER_FAMILY_ID,,23,,
0,PARENT_CARRIER_ID,,,,
0,IS_PAID,,1,,
0,BUSINESS_LINE,,2,,
1,APPLICATION_ID,CONFIRMATION_NUMBER,,,
0,MEMBER_NUMBER,,1,"When BUSINESS_LINE=2, MEMBER_NUMBER=1 is the default.",
0,POLICY_ID,,,,
0,CARRIER_ID,,,,
0,PLAN_ID,,,,
0,RIDER_ID,,,,
0,CATEGORY_CLASS_ID,,1,,
0,REQUESTED_EFFECTIVE_DATE,,,,
0,STATUS_CODE,,,,
1,PRODUCT_LINE,PLAN_TYPE,,MAPD = MA,
0,REVENUE_IMPACT_DATE,,,,
1,POLICY_NUMBER,SUBSCRIBER_ID,,,
0,MONTHLY_PREMIUM,,,,
0,RATE_TIER,,,,
0,NOT_CANCELLED,,,,
0,IS_DELINQUENT,,,,
0,DELINQUENCY_NOTE,,,,
0,MEMBER_COUNT,,,,
0,CARRIER_EFFECTIVE_DATE,,,,
1,EFFECTIVE_START_DATE,COVERAGE_EFFECTIVE_DATE,,,
1,CANCELLATION_DATE,COVERAGE_END_DATE,,,
0,IS_ACTIVE,,,,
0,IS_REVERSED,,,,
0,IS_MASTER_POLICY,,,,
0,HEALTH_RATE_FACTOR,,,,
0,HOUSEHOLE_DISCOUNT,,,,
0,PREMIUM_EFFECTIVE_DATE,,,,
0,FUTURE_RATE_CHANGE_DATE,,,,
0,FUTURE_PREMIUM,,,,
0,FREQUENCY_TO_DEBIT,,,,
0,CARRIER_PAID_THRU_DATE,,,,
0,ADDRESS_TYPE,,HOME,,
1,ADDRESS_LINE_1,APPLICANT_ADDR_1,,,
0,ADDRESS_LINE_2,,,,
0,ADDRESS_LINE_3,,,,
0,CITY,,,,
1,STATE,APPLICANT_STATE,,,
1,ZIP_CODE,APPLICANT_ZIP,,,
0,COUNTY,,,,
1,FIRST_NAME,APPLICANT_FIRST_NAME,,,
1,MIDDLE_NAME,APPLICANT_MIDDLE_INITIAL,,,
1,LAST_NAME,APPLICANT_LAST_NAME,,,
0,GENDER,,,,
0,BIRTH_DATE,,,,
0,SSN,,,,
1,EMAIL,APPLICANT_EMAIL_ADDRESS,,,
1,MEDICARE_ID,HICN,,,
0,CARRIER_CONFIRMATION_NUMBER,,,,
0,PHONE_TYPE,,HOME,,
1,AREA_CODE,APPLICANT_PHONE,,"Remove Special Char: `~!@#$%^&*()_-+={[}]|\:;'""<,>.?/    
Pull LEFT 3 digits.","Ex1. 123-456-7890 becomes 123; 
Ex2. (123) 456-7890 becomes 123"
1,PHONE_NUMBER,APPLICANT_PHONE,,"Remove Special Char: `~!@#$%^&*()_-+={[}]|\:;'""<,>.?/    
Remove LEFT 3 digits.    
Add ""-"" into string between digits 3 and 4.","Ex1. 123-456-7890 becomes 4567890;   
Ex2. 1234567890 becomes 4567890;   
Ex3. (123)456-7890 becomes 4567890"
0,PHONE_EXTENSION,,,,
0,STATUS_NOTE,,,,
0,CATEGORY,,,,
0,SUBSCRIBER_COUNT,,,,
0,GROUP_NAME,,,,
0,GROUP_ID,,,,
0,RAF,,,,
0,CARRIER_APPLICATION_ID,,,,
0,CARRIER_POLICY_ID,,,,
0,RECORD_TYPE,,,,
0,CREATION_DATE,,,,
0,SUBMIT_DATE,,,,
0,SIGNITURE_DATE,,,,
0,SEP_REASON_CODE,,,,
0,EXTRA_HELP,,,,
0,EXTRA_HELP_LEVEL,,,,
0,CARRIER_NAME,,,,
0,PLAN_NAME,,,,
1,CMS_CONTRACT_ID,CONTRACT_ID,,,
1,CMS_PLAN_ID,PLAN_ID,,,
1,CMS_SEGMENT_ID,SEGMENT_ID,,,
0,RENEWAL_DATE,,,,
0,RENEWAL_TYPE,,,,
0,INITIAL_PAYMENT_MODE,,,,
0,CMS_DISENROLLMENT_CODE,,,,
0,STATUS_DATE,,,,
0,PLAN_CHANGE_NOTE,,,,
0,CMS_CARRIER_POST_TERM,,,,
0,CMS_CONTRACT_ID_POST_TERM,,,,
0,CMS_PLAN_ID_POST_TERM,,,,
0,CMS_SEGMENT_ID_POST_TERM,,,,
0,BROKER_OF_RECORD,,,,
0,AGENCY_NAME,,,,
0,AGENCY_ID,,,,
0,AGENT_NAME,,,,
1,AGENT_ID,AGENT_WRITING_NUMBER,,,
